Bl 1; Helderheid van het oog; Jingming; 0.1 cun mediaal en boven de binnenhoek naast de mediale rand van de oogkas; ; 
Bl 2; samengelegde bamboes; Zanzhu; On dde depressie bijna aan het mediale uiteinde van de wenkbrauw recht boven de binnenooghoek.; ; Elimineert interne en externe wind en klaart hitte. Ondersteunt de ogen
Bl 10; Hemelzuil; Tianzhu; 1.3 cun naast dumai 15. binnen de haargrens op de laterale zijde van de m.trapezius; ; Reguleert qi en bedaard wind. Ondersteunt het hoofd en de zintuigen. Verheldert de zee van merg.
Bl 11; Grote weversspoel; Dazhu; 1.5 cun naast de onderrand van de spinaal uitsteeksel van TH 1; ; Ondersteunt de botten en gewrichten
Bl 12 ; windpoort; Fengmen; 1.5 cun naast de onderrand van het soinaal uitsteeksel TH 2; ; Verdrijft wind en bevrijd het externe. Sterkt het wei qi en maakt het externe sterker. Verspreidt en laat longqi dalen.
Bl 13; invloedpunt van de long; Feishu; 1.5 cun naast het spinaal uiteinde TH 3; back shu long; Tonifieert longqi en voedt long yin. Verspreidt en laat longqi dalen. Klaart hitte van de longen. Bevrijd het externe.
Bl 14; Invloedpunt voor het veranderend yin; Jueyinshu; 1.5 cun nqqdt de onderrand van spinaaluitsteeksel TH 4; back shu pericard; reguleert het hart
Bl 15; Invloedunt van het hart; Xinshu;1.5 cun naast het spinaal uitsteeksel TH 5; Back shu hart; Tonifieert en voedt het hart. Kalmeert de shen.
Bl 17; invloedtpunt van het middenrif; Geshu; 1.5 cun naast de onderrand van spinaal uitsteeksel TH 7; ; Versterkt bloed en verdrijft stasis. Koelt bloed en stopt bloeden. voedt en harmoniseert bloed. Harmoniseert het diafragma en laat rebelerend qi dalen.
Bl 18; Invloedpunt van de lever; Ganshu;1.5 cun naast de onderrand van spinaal uitsteeksel TH9; back shu lever; Verspreidt lever qi. Reguleert en voedt lever bloed
Bl 19; Invloed punt van de galblaas; Danshu; 1.5 cun naast de onderrand van spinaal uitsteeksel TH 10; back shu galblaas; Klaart damp-hitte van de lever en galblaas. Tonifieert en reguleert galblaasqi.
Bl 20 ; invloedtpunt van het midden en Milt; Pishu;1.5 cun naast de onderrand van spinaal uitsteeksel TH 11; back shu Milt; Tonifieert milt qi en yang. Lost damp op
Bl 21 ; invloed punt van de maag; Weishu;1.5 cun naast de onderrand van spinaal uitsteeksel TH12; back shu Maag; reguleert de maag en laat rebellerend qi dalen
Bl 22; invloedtpunt van de driewarmer; Sanjiaoshu; 1.5 cun naast de onderrand naast spinaal uitsteeksel lumbale wervel 1; back shu driewarmer; Beweegt en reguleert de 3 warmer
Bl 23; Invloedpunt van de Nier; Shenshu; 1.5 cun naasst de onderrand spinaal uitsteeksel Lumbaal 2; Back shu van de Nieren; Tonifieert de nieren en versterkt nier yang. Ondersteunt Jing. voedt her nier yin. Verstevigd nier qi. reguleert de waterpassages en ondersteund urineren. ondeersteund en verwarmd de uterus. Ondersteund de oren en ogen. verserkt de lumbale regio.
Bl 25; invloedpunt van de dikke darm; Dachangshu; 1.5 cun naast de onderrand van spinaal uitsteeksel Lumbaal 4; back shu van de dikke darm; Reguleert de darmen.
Bl 27; invloedpunt van de dunne darm.; Xiaochangshu ; ter hoogte van het achterse sacrale foramen 1.5 cun naast de dumai meridiaan; back shu van de dunne darm; reguleert dunne darm qi
Bl 28; Invloedpunt van de blaas; Pangguangshu; ter hoogte van het 2de sacrale foramen. 1.5 cun naast de dumai meridiaan; back shu Blaas; Reguleert de blaas. klaart damp-hitte in de OW
Bl 31; bovenste keldergat; Shangliao; in de 1ste sacrale foramen. mediaal van Bl 27; ; Voedt nieren en versterkt jing.
Bl 32; volgende keldergat; Cilliao; in de 2de sacrale foramen ter hoogte van Bl 28; ; Voedt de nieren en versterkt jing
Bl 33; middelste keldergat; Zhongliao; in de 3de sacrale foramen ter hoogte van bl 29; ; Voedt de nieren en versterkt jing
Bl 34; onderste keldergat; Xiaoliao; in het 4de sacrale foramen; ; Voedt de nieren en versterk jing
Bl 36; Spleet in het vlees; Chengfu; in het midden van de bilplooi; ; Activeert de meridiaan. ontspant de pezen en de spieren en verminderd pijn
Bl 40; Het midden van het water; Weizhong; Achterkant knie in de kniekuil tussen de pezen; commandopunt van de rug; Ondersteunt de lumbale regio en de knie
Bl 42; deurgat van de ziel; Pohu; 3 cun naast de onderrand van spinaal uitsteeksel Th3 naast Bl 13/ DM 12; Ben Shen; Voedt de long en Po
Bl 44; Voorhof van de opbouwkracht; Shentang; 3 cun naast de onderrand van spinaal uitsteeksel Th 5 naast Bl 15/DM11; Ben Shen; voedt het hart en de Shen
Bl 47; Poort van de geest; Hunmen; 3 cun naast spinaal uitsteeksel Th 9 Bl18/DM 8; Ben Shen; Voedt de lever en de Hun
Bl 49; Huis van de fantasie; Yishe; 3 cun naast de spinaaluitsteeksel TH 11 Bl20/DM6; ben Shen; voedt de milt en Yi
Bl 52; Kamer van de potentie; Zhishi; 3 cun naast Lumbaal 2 Bl23/DM4; Ben Shen; Voedt de nier en Zhi en ondersteund het Jing
Bl 57; Zuil van het vlees; Chengshan; 8 cun onder BL40. recht onder de spierbuik van de m.gastrocnemius. 8 cun distaal inder BL40 op de lijn BL40/ BL60; ; Ontspant de pezen. Activeert de meridaan en verminderd pijn
Bl 58; Het veranderend Yang; Feiyang; 1 cun onder en naar buiten van Bl57. 7 cun recht boven BL60 op de achterrand van de Tibia; Luo punt; Activeert de meridiaan en verminderd pijn
Bl 60; Kunlun; Kunlun; In de depressie tussen de laterale melleolus en de achillespees; ; Activeert de hele blaasmeridiaan en verminderd pijn. Ontspant de pezen en versterkt de lumbale regio
BL 62; Oorsprong van de opstijgende yang-baan; Shenmai; On de depressie reschtsonder de laterale melleolus. 0.5cun lateraal van de onderste rand.; openingspunt van Yang qiao mai; Ondersteunt het hoofd en de ogen. Opent en reguleert de yang qiao mai. Activeert de meriidiaan en verminderd pijn.
Bl 63; De metalen poort; Jinmen; aan de laterale zijde van de voet. in de depressie posterior van de tuberositas van het 5de metatarsale bot.; xi-cleft; Ontspant de pezen. Activeert de meridiaan en verminderd pijn
BL 64; Piramidebot; Jinggu; Voor en onder tuberositas van metatarsaal 5 op de scheiding van rode en witte huid op de laterale zijde van de voet.; Yuan source; Ontspant de pezen. Activeert de meridiaan en verminderd pijn. Versterkt de blaas
BL 67; Uiterst yin; Zhiyin; 0.1 cun onder de laterale nagelhoek van de kleine teen; ; einde blaasmeridiaan
