Gb 1; Keldergat van de pupil; Tongziliao; In de depressie aan de laterale zijde van de oogkas. 0,5 cun lateraal aan de buitenooghoek; ; 
Gb 14; De witheid van het yang.; Yangbai; Op het voorhoofd, 1 cun boven het midden van de wenkbrauw. Direct boven de pupil als je recht vooruit kijkt; ; Elimineert wind.- tempert opstijgend qi
Gb 20; windvijver; Fengchi; In de depressie tussen de M. sternocleido-mastoidius en het bovendeel van de monnikskapspier. Tussen DM16 en het proc.mastoidius; ; Elimineert wind.- Klaart de zintuigen
Gb 21; schouder-bron; Jianjing; Halverwege DM14 en het acromion op het hoogste punt van de schouder; ; Reguleert qi.- activeert de meridiaan en verminderd pijn.- Ontspant de pezen
Gb 22; okselpoort; Yuanye; 3 cun onder het midden van de oksel in de 5de intercostale ruimte; ; Reguleert qi.- Bevrijdt de borst.- Ondersteunt de oksel
Gb 24; zon en maan; Riyue; In de 7de intercostale ruimte recht onder de tepel. 4 cun lateraal van de middenlijn.(onder Le 14); front mu van de Galblaas; Ondersteund de galblaas.- Verspreidt lever qi.- Lost damp-hitte op.
Gb 25; poort van de piramide; Jingmen; Aan de onderrand aan het uiteinde van de 12e rib.; Front mu van de nieren; Tonifieert de nieren.- Reguleert de waterpassage
Gb 27; 5e scharnierpunt; Wushu; In de depressie net anterior van de anteriore superiore Illiac spinae. Gelijke hoogte met Renmai 4(3 cun onder de navel); ; Reguleert de dai mai
Gb 28; de gereserveerde weg; Weidao; 0.5 cun voor en onder Gb 27; ; Reguleert de dai mai
Gb 30; scharnierpunt van de femur; Huangtiao; 1/3 afstand vanaf de grote trochanter en de hiatus van het sacrum.(zijlig met dij in flexie); ; Activeert de meridiaan en verminderd pijn.- Brengt qi en xue naar benenden.
Gb 31; marktplein van de winden; Fengshi; Op de middenlijn van de zijkand van de dij, 7 cun boven de knieplooi,(als je staat met armen langszij, daar waar de top van je middelvinger de zij raakt); ; Elimineert wind. - /Verminderd jeuk.
Gb 34; bron bij de zonbeschenen grafheuvel; Yanglingguan; In de depressie 1 cun voor en onder de fibulaknop; Hui-meetingpoint van de pezen; Ondersteubt de pezen. - Verspreid lever qi
Gb 36; buitenste heuvel; Waiqiu; 7 cun boven de top van de externe malleolus aan de achterrand van de fibula.(zelfde hoogte als Gb 35, 9 cun onder popliteal); xi-cleft; Activeert de meridiaan en verminderd pijn
Gb 37; glans en licht; Guangming; 5 cun boven de top van de buitenenkel aan de voorrand van de fibula; Luo-punt; Ondersteund de ogen. - Verdrijft wind-damp-hitte.
Gb 39; de hangende klok; Xuanzhong; 3 cun boven de top van de buitenenkel in de depressie tussen de achterrand van de peroneus longus en brevis.(handbreedte vanf de enkel); hui-meeting van het merg; Ondersteund de pezen en botten
Gb 40; het veld bij de heuvel; Qiuxu; Voor-onder de malleolus externus in een holte lateraal van de pees van de m.extensior digitorum longus; Yuan-source; Verspreid lever qi en klaart galblaas hitte en damp
Gb 41; Aan de rand van de tranen van de voet; Zulinqi; In de depressie bij de samenkomst van de 4e en 5e metatarsaal(bovenkant); confluentpunt dai-mai; Verspreidt lever qi. - Transformeert damp-hitte en slijm. - reguleert de dai-mai
Gb 42; 5e verzamelplaats van de aarde; Diwuhui; tussen 4e 4n 5e metatarsaal. 1 cun boven Gb 43; ; Oorproblemen
Gb 44; toegang tot het yin; Zuqiaoyin; 0.1 cun onder de laterale nagelhoek van de 4e teen; ; 
